Run	R to R'	R to R''	R' to R''	Real to R (proteins)
Random250	0.500124	0.486455	0.17915	0.756429
Random251	0.523635	0.499712	0.225224	0.77586
Random252	0.452906	0.422209	0.192211	0.75174
Random253	0.482629	0.460385	0.181865	0.756042
Random254	0.512042	0.501983	0.174575	0.745602
Random255	0.438214	0.405652	0.206527	0.697137
Random256	0.53462	0.515778	0.211388	0.750932
Random257	0.440901	0.416911	0.192428	0.760889
Random258	0.397943	0.360246	0.208274	0.744108
Random259	0.41151	0.388578	0.165548	0.705732
